Area (ft2),Bedrooms,Bathrooms,Stories,Metro,Basement,Aircon,ParkingSpace,PopularArea,Furnished,Price($) 
5450,4,2,1,1,1,1,0,1,1,6160000
2850,3,2,2,0,1,0,0,1,0,3640000
5800,3,2,4,1,0,1,0,0,0,5740000
2870,2,1,2,1,1,0,0,1,1,4620000
3240,4,1,3,1,0,0,1,0,1,6107500
6600,3,2,1,1,1,1,0,1,0,6230000
3500,2,1,1,1,0,0,0,0,0,2450000
8520,3,1,1,1,0,1,2,0,0,5250000
3750,3,1,1,1,0,0,0,0,0,3360000
3150,3,2,1,1,1,1,0,0,0,5460000
4000,3,1,2,1,0,0,1,0,0,2730000
4995,4,2,1,1,1,0,0,0,1,4893000
3185,2,1,1,1,0,1,0,0,0,2653000
4600,3,2,2,1,0,1,1,0,1,4200000
7700,3,2,1,1,0,0,2,0,0,6895000
4510,4,2,2,1,1,0,0,0,1,4613000
4130,3,2,2,1,0,0,2,0,1,3640000
3520,2,2,1,1,1,0,0,0,1,3640000
3930,2,1,1,0,0,0,0,0,0,3255000
6615,4,2,2,1,0,0,1,0,1,6090000
4500,2,1,1,1,0,0,0,0,1,3605000
4990,4,2,2,1,1,0,0,1,0,4543000
3480,2,1,1,1,0,0,0,1,1,3745000
2953,3,1,2,1,1,1,0,0,0,4200000
3960,3,1,1,1,0,0,0,0,0,2800000
6060,2,1,1,1,1,0,1,0,1,4123000
3100,3,1,2,0,1,0,0,0,1,3360000
7020,3,1,1,1,1,1,2,1,1,5950000
6480,3,2,4,1,0,1,2,0,0,7700000
3600,2,1,1,1,0,0,0,0,0,2590000
6000,4,2,4,1,0,0,1,0,1,6300000
4300,3,2,2,1,1,0,1,0,0,7455000
4500,3,1,1,1,1,0,0,0,0,4200000
3120,3,1,2,0,1,0,0,0,1,3703000
2610,4,3,2,0,0,0,0,0,1,4200000
6420,3,1,3,1,1,0,0,1,0,6125000
3800,2,1,1,1,0,0,0,0,0,3045000
3000,4,1,3,1,1,1,2,0,1,4060000
4320,3,1,1,1,0,0,0,1,1,4690000
3630,3,3,2,0,0,0,0,0,0,2660000
5828,4,1,4,1,0,0,0,0,1,5810000
5400,4,2,2,1,0,1,2,0,0,5740000
3185,2,1,1,1,1,0,2,0,0,3360000
8500,3,2,4,1,0,1,2,0,0,8960000
8000,3,1,1,1,1,1,2,1,1,6020000
7500,3,3,1,1,1,1,2,1,1,10850000
3640,3,2,2,1,1,0,0,0,0,4200000
6420,3,1,1,1,1,1,0,1,0,5950000
4900,3,1,2,0,0,0,0,0,0,3493000
6000,3,2,3,1,0,1,0,0,1,7560000
4646,3,1,2,1,1,0,2,0,1,4900000
3090,3,1,2,0,0,0,0,0,1,3010000
5300,4,2,1,1,0,1,0,1,0,5250000
4510,4,1,2,1,0,1,2,0,1,4480000
11175,3,1,1,1,1,1,1,1,0,7000000
4000,3,1,2,1,0,1,0,0,0,2653000
5170,3,1,4,1,0,1,0,0,1,4690000
8250,3,2,3,1,0,1,0,0,0,6510000
3600,2,1,1,1,0,0,0,0,1,3780000
6900,3,1,1,1,1,0,0,1,1,5523000
4050,2,1,2,1,1,0,0,1,0,3990000
3630,3,2,2,1,0,0,2,0,1,4025000
4992,3,2,2,1,0,0,2,0,0,4060000
6040,3,1,1,1,0,0,2,1,1,4830000
3180,3,1,2,0,1,0,0,0,1,3640000
3850,2,1,1,1,0,0,0,0,1,3850000
4040,2,1,1,1,0,0,0,0,1,3710000
8400,4,1,4,1,0,0,3,0,0,4550000
4040,3,1,2,1,1,0,1,0,0,6650000
8250,3,1,1,1,0,0,2,0,0,3773000
6000,4,1,2,1,1,0,2,0,1,9100000
2500,2,1,1,0,0,1,0,0,0,3290000
7424,3,1,1,0,0,0,0,0,0,3500000
6000,3,2,4,1,0,1,1,0,0,7525000
7950,5,2,2,1,1,0,2,0,0,8400000
2145,3,1,3,1,0,0,1,1,0,4200000
2910,3,1,1,0,0,0,0,0,0,1750000
4500,2,1,2,1,0,0,1,0,1,3080000
4280,2,1,1,1,0,1,2,0,1,3640000
4350,3,1,2,0,0,0,1,0,0,2835000
6000,4,3,2,1,1,0,2,0,1,9681000
5020,3,1,4,1,0,1,0,1,0,6720000
5300,3,1,1,0,0,1,0,1,0,2233000
3600,2,2,2,1,1,0,1,0,0,2590000
9620,3,1,1,1,1,0,2,1,0,6083000
2145,3,1,2,1,1,0,0,1,0,3290000
7482,3,2,3,1,0,0,1,1,0,8043000
6000,3,1,1,1,0,1,1,0,0,6860000
5948,3,1,2,1,0,1,0,0,1,4935000
6000,3,1,4,1,0,1,2,0,0,7962500
16200,5,3,2,1,0,0,0,0,0,10150000
4775,4,1,2,1,0,0,0,0,0,3325000
3500,2,1,1,1,0,0,0,0,0,3115000
2880,3,1,1,0,0,0,0,0,0,2520000
6600,4,2,1,1,1,0,0,1,1,5600000
2700,2,1,1,0,0,0,0,0,0,2940000
4100,4,1,1,0,1,0,0,0,0,3990000
10269,3,1,1,1,0,0,1,1,1,5250000
6540,4,2,2,1,1,1,2,1,0,8540000
6750,2,1,1,1,0,0,0,0,1,3150000
